time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1700823831791720000,102.95871997070313,-0.6909918189048767,-0.27726680040359497,-0.5926960110664368,0.30718886852264404,-1.4266020059585571,-0.019040096551179886,2.2884721755981445
1700823831800173000,102.96717309570313,-0.6907355785369873,-0.2769588828086853,-0.5932459235191345,0.3069812059402466,-1.427577018737793,-0.01838105171918869,2.2892532348632812
1700823831813324000,102.98032397460938,-0.6903971433639526,-0.2755464017391205,-0.5950865745544434,0.3054473102092743,-1.4304234981536865,-0.01693851314485073,2.2938098907470703
1700823831828161000,102.9951611328125,-0.6916190981864929,-0.27434438467025757,-0.5940203666687012,0.30584001541137695,-1.426527738571167,-0.016133949160575867,2.294921636581421
1700823831837860000,103.00486010742188,-0.692024827003479,-0.27329713106155396,-0.5935445427894592,0.30678224563598633,-1.4242305755615234,-0.014079409651458263,2.294884204864502
1700823831848066000,103.01506616210938,-0.6922850608825684,-0.27206602692604065,-0.5931259989738464,0.3080958127975464,-1.421873927116394,-0.01121547445654869,2.2944881916046143
1700823831860826000,103.027826171875,-0.6919997334480286,-0.27104949951171875,-0.5931476950645447,0.3095873296260834,-1.420814037322998,-0.00787039753049612,2.2934749126434326
1700823831871438000,103.03843798828125,-0.6915481686592102,-0.2708146572113037,-0.5936275124549866,0.3098822832107544,-1.4217097759246826,-0.006653506774455309,2.2933194637298584
1700823831887939000,103.05493896484376,-0.691565215587616,-0.26958411931991577,-0.5946450233459473,0.3089650571346283,-1.4228112697601318,-0.005420949775725603,2.2966041564941406
1700823831897817000,103.06481713867187,-0.6918783783912659,-0.26859864592552185,-0.5949960947036743,0.3084457814693451,-1.4225839376449585,-0.00462712487205863,2.2988781929016113
1700823831908008000,103.07500805664063,-0.6923184394836426,-0.26743385195732117,-0.5950945615768433,0.3082805871963501,-1.4215589761734009,-0.0033865636214613914,2.300821542739868
1700823831917842000,103.08484204101562,-0.6928521394729614,-0.2664695978164673,-0.5949258804321289,0.30824214220046997,-1.4201120138168335,-0.0024856056552380323,2.3022654056549072
1700823831927905000,103.09490502929688,-0.6932241916656494,-0.2648466229438782,-0.5951879620552063,0.3082982301712036,-1.4189989566802979,-0.0002053678035736084,2.3044891357421875
1700823831937842000,103.10484204101563,-0.6924741268157959,-0.264468252658844,-0.5963476896286011,0.3080674707889557,-1.421389102935791,0.001155823701992631,2.305412530899048
1700823831947903000,103.11490307617187,-0.6910040378570557,-0.26419663429260254,-0.5983500480651855,0.3077187240123749,-1.4259347915649414,0.003125166054815054,2.306382656097412
1700823831959158000,103.12615795898438,-0.6901283860206604,-0.2634945213794708,-0.5997171401977539,0.30762457847595215,-1.4284945726394653,0.005285377148538828,2.307547092437744
1700823831968002000,103.135001953125,-0.6890295147895813,-0.262885183095932,-0.6013460159301758,0.3074292540550232,-1.4317965507507324,0.007471481803804636,2.308750867843628
1700823831977916000,103.144916015625,-0.6878669261932373,-0.2622060179710388,-0.6030750870704651,0.3072255253791809,-1.4352785348892212,0.009834567084908485,2.310072898864746
1700823831987877000,103.15487719726562,-0.687000036239624,-0.26149144768714905,-0.6044780015945435,0.30701711773872375,-1.4379394054412842,0.011881213635206223,2.311453342437744
1700823831997876000,103.1648759765625,-0.6865530610084534,-0.26056352257728577,-0.6055182814598083,0.3067558705806732,-1.4394985437393188,0.013711613602936268,2.3132238388061523
1700823832008078000,103.175078125,-0.6862348318099976,-0.25924497842788696,-0.6066120266914368,0.3064240515232086,-1.4407861232757568,0.01595582626760006,2.3156700134277344
1700823832017912000,103.184912109375,-0.6859567761421204,-0.25768816471099854,-0.6077465415000916,0.30611154437065125,-1.4419360160827637,0.01855163834989071,2.318425416946411
1700823832028125000,103.195125,-0.6858235597610474,-0.2559358477592468,-0.6087809801101685,0.3058246672153473,-1.4426517486572266,0.021308425813913345,2.3214149475097656
1700823832037906000,103.20490600585937,-0.6870951056480408,-0.2522938847541809,-0.6079860329627991,0.3075730800628662,-1.4369456768035889,0.027303898707032204,2.323683023452759
1700823832047896000,103.21489599609374,-0.6860947608947754,-0.25087761878967285,-0.6091233491897583,0.30871230363845825,-1.4382835626602173,0.03184150159358978,2.3238377571105957
1700823832057928000,103.22492797851562,-0.6854958534240723,-0.25153467059135437,-0.6093346476554871,0.3090907037258148,-1.439469575881958,0.03183279559016228,2.3222920894622803
1700823832067862000,103.23486206054687,-0.6846870183944702,-0.2522682249546051,-0.609822690486908,0.30932316184043884,-1.4414163827896118,0.03182036057114601,2.3208868503570557
1700823832077806000,103.24480615234376,-0.6834426522254944,-0.2529224455356598,-0.6110089421272278,0.30919963121414185,-1.4450033903121948,0.032137054949998856,2.3202013969421387
1700823832087892000,103.25489208984375,-0.6819862127304077,-0.25336235761642456,-0.6124985814094543,0.309108167886734,-1.4491239786148071,0.033083394169807434,2.3197760581970215
1700823832097866000,103.26486596679688,-0.6805912852287292,-0.2530135214328766,-0.6140406131744385,0.30940890312194824,-1.452569842338562,0.03558916226029396,2.3198306560516357
1700823832107913000,103.27491284179688,-0.6794052720069885,-0.25230923295021057,-0.6155271530151367,0.3096368610858917,-1.45552396774292,0.03834874555468559,2.3205127716064453
1700823832117924000,103.28492407226562,-0.6783009767532349,-0.25143805146217346,-0.6170508861541748,0.3097335398197174,-1.4584107398986816,0.04115297645330429,2.3216536045074463
1700823832127799000,103.29479907226562,-0.6772733926773071,-0.2505757808685303,-0.6185197830200195,0.3097513020038605,-1.4611819982528687,0.043771982192993164,2.322913408279419
1700823832137800000,103.30480004882813,-0.6761345267295837,-0.2499459832906723,-0.6200270056724548,0.3097350001335144,-1.4642950296401978,0.04611025005578995,2.323904275894165
1700823832147799000,103.31479907226563,-0.6747413277626038,-0.2496207356452942,-0.621794581413269,0.30949172377586365,-1.4683774709701538,0.048040181398391724,2.3248491287231445
1700823832157895000,103.32489501953125,-0.6733022928237915,-0.24975813925266266,-0.62343829870224,0.3092080056667328,-1.4726288318634033,0.0492386668920517,2.325197696685791
1700823832167827000,103.33482690429688,-0.6734755635261536,-0.24907159805297852,-0.6267834901809692,0.3025500774383545,-1.480375051498413,0.04379351809620857,2.337157964706421
1700823832177883000,103.3448828125,-0.6725337505340576,-0.24858638644218445,-0.629056990146637,0.3003173768520355,-1.4856288433074951,0.0434817299246788,2.3415653705596924
1700823832187800000,103.35480004882812,-0.6716824173927307,-0.24889792501926422,-0.630036473274231,0.29991114139556885,-1.488417387008667,0.043562985956668854,2.3418169021606445
1700823832197877000,103.364876953125,-0.6710910797119141,-0.248921200633049,-0.630813479423523,0.2995820641517639,-1.4904073476791382,0.04387728497385979,2.342348575592041
1700823832207796000,103.3747958984375,-0.6695539951324463,-0.246488556265831,-0.6339147090911865,0.2984846234321594,-1.4958475828170776,0.04837166890501976,2.347764492034912
1700823832217928000,103.38492797851562,-0.6680657267570496,-0.24501286447048187,-0.6372113823890686,0.29600420594215393,-1.5027986764907837,0.04988578334450722,2.354034900665283
1700823832227794000,103.3947939453125,-0.6679704189300537,-0.24306033551692963,-0.639342725276947,0.293220192193985,-1.506345272064209,0.0502433255314827,2.3614087104797363
1700823832237867000,103.40486694335938,-0.6679116487503052,-0.24253670871257782,-0.6401206851005554,0.29208818078041077,-1.5078332424163818,0.04997798800468445,2.364008903503418
1700823832247795000,103.414794921875,-0.6678475141525269,-0.2422216534614563,-0.6404717564582825,0.29172661900520325,-1.5084283351898193,0.05017212778329849,2.3650577068328857
1700823832257868000,103.42486791992188,-0.6676696538925171,-0.24246469140052795,-0.6403047442436218,0.29229792952537537,-1.5082341432571411,0.05056840553879738,2.3637890815734863
1700823832267807000,103.43480688476562,-0.6674997210502625,-0.24224898219108582,-0.640282928943634,0.2929118871688843,-1.5079646110534668,0.051713746041059494,2.363121509552002
1700823832277871000,103.44487109375,-0.6671276688575745,-0.2415149211883545,-0.6407164335250854,0.2934173047542572,-1.5083595514297485,0.05377795174717903,2.3633997440338135
1700823832287793000,103.45479296875,-0.6664599776268005,-0.2403302788734436,-0.6416932940483093,0.29377254843711853,-1.5097180604934692,0.05671313405036926,2.3645989894866943
1700823832297806000,103.46480615234375,-0.6654343605041504,-0.23892022669315338,-0.6431840658187866,0.2939872741699219,-1.5121937990188599,0.060240816324949265,2.3663809299468994
1700823832307803000,103.47480297851563,-0.6640791893005371,-0.23736678063869476,-0.6451109051704407,0.2940879464149475,-1.5156769752502441,0.06422212719917297,2.3685858249664307
1700823832318173000,103.4851728515625,-0.6626797318458557,-0.2358434647321701,-0.6471036672592163,0.2940923869609833,-1.5193852186203003,0.06809175759553909,2.37091326713562
1700823832327806000,103.49480590820312,-0.661332368850708,-0.23437346518039703,-0.6490065455436707,0.29410746693611145,-1.5229355096817017,0.07181955128908157,2.3731491565704346
1700823832337887000,103.50488696289062,-0.6600590348243713,-0.23326727747917175,-0.6506116390228271,0.29430076479911804,-1.526073694229126,0.07508117705583572,2.374562978744507
1700823832347804000,103.51480395507812,-0.6591117978096008,-0.23267994821071625,-0.6515244841575623,0.2948686480522156,-1.5279024839401245,0.07758190482854843,2.3745853900909424
1700823832357883000,103.5248828125,-0.658537745475769,-0.23271335661411285,-0.651677131652832,0.2957863211631775,-1.5283280611038208,0.0790957361459732,2.3730978965759277
1700823832367815000,103.53481494140625,-0.6580126285552979,-0.2329164445400238,-0.6518088579177856,0.29650381207466125,-1.5288593769073486,0.08008930087089539,2.3716812133789062
1700823832377887000,103.54488696289063,-0.6573929190635681,-0.23308442533016205,-0.6522690653800964,0.2967345714569092,-1.5302196741104126,0.08073314279317856,2.371114730834961
1700823832387805000,103.55480493164063,-0.6569087505340576,-0.23332864046096802,-0.6526696681976318,0.29673394560813904,-1.5314977169036865,0.08087537437677383,2.3707995414733887
1700823832397884000,103.5648837890625,-0.6565458178520203,-0.23357322812080383,-0.652927577495575,0.2967771887779236,-1.5324029922485352,0.08093329519033432,2.370401382446289
1700823832407804000,103.57480395507812,-0.6559288501739502,-0.2335074096918106,-0.6535660028457642,0.29678791761398315,-1.5340138673782349,0.08170333504676819,2.3705360889434814
1700823832417964000,103.58496411132812,-0.6551198959350586,-0.23337529599666595,-0.6543304324150085,0.2969942092895508,-1.5358939170837402,0.08298228681087494,2.370469808578491
1700823832427798000,103.59479809570313,-0.6549531817436218,-0.23031489551067352,-0.6559147834777832,0.29625535011291504,-1.537201166152954,0.0870555117726326,2.3761942386627197
1700823832437796000,103.60479614257812,-0.6545152068138123,-0.2286008596420288,-0.6570368409156799,0.296064555644989,-1.538572072982788,0.08992630988359451,2.3790712356567383
